Customer_ID,Recency,Frequency,Monetary
10000.0,103,4,5007.5663574
10001.0,105,5,8136.4628237
10002.0,95,5,4104.0139512000005
10003.0,228,2,2340.4964468
10004.0,31,2,2356.516683
10005.0,246,1,3073.147975
10006.0,16,4,7115.4922338
10007.0,34,5,9322.2734562
10008.0,9,5,6251.9558463
10009.0,58,3,1997.3317263499998
10010.0,61,4,2506.7532534
10011.0,107,3,3328.0430329
10012.0,71,1,1014.539187
10014.0,95,2,4543.9532166
10015.0,19,4,1929.8462507
10016.0,45,5,3784.2755802
10017.0,84,2,2599.2026157
10018.0,111,2,4868.536179
10019.0,41,4,7539.624989600001
10020.0,5,4,5326.2790047
10021.0,151,2,1328.12362582
10022.0,167,3,5499.574766
10023.0,17,7,10588.485557599999
10024.0,70,2,3270.7096864
10026.0,2,2,3893.100198
10027.0,75,3,4161.379730000001
10028.0,23,3,2555.1672366
10029.0,116,3,4253.688894
10030.0,39,1,2228.079117
10031.0,15,2,4951.8529419999995
10032.0,30,6,11538.269390899999
10033.0,47,5,6450.7219544
10034.0,198,3,2324.6900366
10035.0,14,4,5875.2896062
10036.0,24,2,4195.4050799
10037.0,150,4,1790.5693314
10038.0,81,4,5194.4333019999995
10039.0,96,6,7291.7982084
10040.0,171,5,9612.1604565
10041.0,90,4,6559.800209
10042.0,203,2,4435.048509
10043.0,174,4,3133.0277008
10044.0,75,5,11335.3456575
10045.0,4,3,6693.8170867
10047.0,229,2,1284.0016946
10048.0,237,2,4255.7111042
10049.0,144,3,6865.3602133
10050.0,52,3,4648.7313265
10051.0,21,5,7503.0533372
10052.0,29,3,5157.8258270999995
10053.0,92,4,8079.909447330001
10054.0,28,4,4174.4480544
10055.0,225,5,7244.1951546
10056.0,18,3,4577.2045291
10057.0,94,2,2692.0569816
10058.0,13,6,9831.523924
10059.0,99,5,4538.7201614
10060.0,180,1,492.6453751
10061.0,49,1,1523.956807
10062.0,53,3,2477.7282617
10063.0,10,4,2446.3217811100003
10064.0,38,7,10999.8136969
10065.0,53,3,5874.0524889
10066.0,1,3,4990.8185201
10067.0,50,6,11189.1330406
10068.0,195,1,2595.123684
